,title,genre,rating,description,votes,tiers,anger,disgust,fear,joy,neutral,sadness,surprise,genre_list,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
15,I Came By,Thriller,6.1,Follows a young graffiti artist who discovers a shocking secret that would put him and the ones closest to him in danger.,16230.0,7.0,0.013745998,0.008907757,0.94553137,0.002988258,0.010354514,0.002005111,0.016467053,['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,No Limit,"Drama, Romance, Sport",5.8,Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean's descent.,1695.0,6.0,0.013508937,0.005396771,0.586599,0.022432419,0.2706727,0.0313234,0.07006683,"['Drama', 'Romance', 'Sport']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
17,1899,"Drama, History, Horror",9.6,Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.,853.0,10.0,0.003161861,0.003911411,0.9620355,0.001688034,0.013070908,0.006692221,0.009440159,"['Drama', 'History', 'Horror']",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Peaky Blinders,"Crime, Drama",8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",531058.0,9.0,0.17850904,0.3840283,0.03182052,0.027328119,0.36053,0.009553026,0.008231039,"['Crime', 'Drama']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Fate: The Winx Saga,"Action, Adventure, Drama",6.9,"A live-action adaptation of Nickelodeon's Winx Club (2004). It follows Bloom as she adjusts to life in the Otherworld, where she must learn to control her dangerous magical powers.",43179.0,7.0,0.011265564,0.012207951,0.018771568,0.6813794,0.26046357,0.00687994,0.009031928,"['Action', 'Adventure', 'Drama']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,1844055.0,9.0,0.010003391,0.12877409,0.16156441,0.30896023,0.2789064,0.1071153,0.004676192,"['Action', 'Adventure', 'Drama']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Grey's Anatomy,"Drama, Romance",7.6,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,303617.0,8.0,0.04805625,0.82306474,0.0243655,0.052378055,0.026087195,0.023431487,0.002616819,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,Supernatural,"Drama, Fantasy, Horror",8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",439597.0,9.0,0.078960106,0.1238791,0.28841513,0.006338642,0.47309995,0.024885893,0.004421156,"['Drama', 'Fantasy', 'Horror']",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,American Horror Story,"Drama, Horror, Sci-Fi",8.0,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and desert valley.",312970.0,8.0,0.011538064,0.15525681,0.32806402,0.009845836,0.056575805,0.42714432,0.011575189,"['Drama', 'Horror', 'Sci-Fi']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,The Accidental Narco,"Action, Biography, Crime",7.4,A civilian businessman who has no choice but to cooperate with the secret operation of the National Intelligence Service to arrest the Korean drug lord who has taken control of Suriname in South America.,2056.0,8.0,0.053477418,0.9292259,0.002628868,0.001664919,0.006688159,0.005672558,0.000642225,"['Action', 'Biography', 'Crime']",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,NCIS,"Action, Crime, Drama",7.8,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",145895.0,8.0,0.020112807,0.03593901,0.021205397,0.006856119,0.83050543,0.04802558,0.03735563,"['Action', 'Crime', 'Drama']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Friends,"Comedy, Romance",8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,979424.0,9.0,0.010199614,0.011772637,0.002671113,0.036070723,0.9115007,0.015786238,0.01199907,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,Shameless,"Comedy, Drama",8.6,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",239541.0,9.0,0.022629548,0.04453185,0.003248721,0.30468777,0.57999676,0.040608678,0.00429669,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Modern Family,"Comedy, Drama, Romance",8.5,Three different but related families face trials and tribulations in their own uniquely comedic ways.,423963.0,9.0,0.009126972,0.010544785,0.003768405,0.62692285,0.29570258,0.016929269,0.037005164,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,Ozark,"Crime, Drama, Thriller",8.5,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",309552.0,9.0,0.13487917,0.58526766,0.005549711,0.004960596,0.25326192,0.012914758,0.003166135,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,Echoes,"Drama, Mystery, Thriller",5.9,"Leni and Gina are identical twins who have secretly swapped their lives since they were children, culminating in a double life as adults, but one of the sisters goes missing and everything in their perfectly schemed world turns into chaos.",9380.0,6.0,0.16439821,0.010304946,0.019317383,0.010222363,0.0971894,0.6836083,0.014959425,"['Drama', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
31,The Gray Man,"Action, Thriller",6.5,"When the CIA's most skilled operative-whose true identity is known to none-accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.",172136.0,7.0,0.28881595,0.32400084,0.34698448,0.003327832,0.027956894,0.00535392,0.003560072,"['Action', 'Thriller']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,Me Time,Comedy,5.0,Follows a dad who finds time for himself for the first time in years while his wife and kids are away. He reconnects with a friend for a wild weekend.,26092.0,5.0,0.007182227,0.015571438,0.002920399,0.4100617,0.48904815,0.0424404,0.032775696,['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Suits,"Comedy, Drama",8.5,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",405863.0,9.0,0.009686031,0.020890586,0.0878654,0.032158226,0.60914606,0.2221004,0.01815336,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Vikings,"Action, Adventure, Drama",8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.",524630.0,9.0,0.31628084,0.1239467,0.47774693,0.001602727,0.03170608,0.044949155,0.003767672,"['Action', 'Adventure', 'Drama']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,The Witcher,"Action, Adventure, Drama",8.2,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",481837.0,9.0,0.1039014,0.37991303,0.06744566,0.004864694,0.3724973,0.06813906,0.003238863,"['Action', 'Adventure', 'Drama']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,The Blacklist,"Crime, Drama, Mystery",8.0,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",245591.0,8.0,0.059741553,0.034618244,0.4405884,0.005099666,0.30858034,0.024662828,0.12670901,"['Crime', 'Drama', 'Mystery']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,Seinfeld,Comedy,8.9,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,314089.0,9.0,0.007702002,0.019290714,0.7788758,0.0101233,0.06775741,0.097645395,0.01860535,['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Lucifer,"Crime, Drama, Fantasy",8.1,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,318928.0,9.0,0.010523486,0.020604312,0.002743358,0.17846344,0.60275745,0.17787337,0.00703457,"['Crime', 'Drama', 'Fantasy']",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,The Umbrella Academy,"Action, Adventure, Comedy",7.9,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",243344.0,8.0,0.006211994,0.018144188,0.007615524,0.06668361,0.6200257,0.27509618,0.006222795,"['Action', 'Adventure', 'Comedy']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,The Last Kingdom,"Action, Drama, History",8.5,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.",136936.0,9.0,0.024054248,0.054259166,0.2658933,0.2500002,0.31511796,0.08666992,0.004005261,"['Action', 'Drama', 'History']",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Partner Track,Drama,6.8,"Centers on Ingrid Yun, an idealistic young lawyer, struggles with her moral compass and her passions as she fights to climb the partner track at an elite New York City law firm.",3840.0,7.0,0.06571575,0.018868888,0.09618632,0.015148726,0.7375794,0.0611805,0.005320408,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Love in the Villa,"Comedy, Romance",5.3,"A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and she'll have to share her vacation with a cynical British man.",7048.0,6.0,0.21937431,0.46027324,0.001155195,0.012301132,0.06917681,0.22859135,0.009127986,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,Black Mirror,"Drama, Mystery, Sci-Fi",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",535782.0,9.0,0.050631743,0.7152261,0.051249333,0.029426076,0.0643895,0.06816491,0.020912394,"['Drama', 'Mystery', 'Sci-Fi']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
44,Brooklyn Nine-Nine,"Comedy, Crime",8.4,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",309004.0,9.0,0.00669606,0.039494675,0.013750882,0.7991372,0.11959795,0.012241638,0.009081528,"['Comedy', 'Crime']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Squid Game,"Action, Drama, Mystery",8.0,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.",435160.0,8.0,0.021088118,0.015062295,0.21230555,0.034867976,0.31275207,0.004202755,0.39972126,"['Action', 'Drama', 'Mystery']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,Gilmore Girls,"Comedy, Drama",8.2,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",124087.0,9.0,0.006838496,0.056841675,0.063000835,0.7407859,0.06302606,0.056151614,0.013355337,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Outlander,"Drama, Fantasy, Romance",8.4,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,158268.0,9.0,0.008899315,0.006346555,0.02552315,0.002368299,0.27512378,0.036828075,0.6449109,"['Drama', 'Fantasy', 'Romance']",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,Ófærð,"Crime, Drama, Mystery",8.0,"In a remote town in Iceland, Police desperately try to solve a crime as a powerful storm descends upon the town.",21641.0,8.0,0.014715513,0.007363491,0.9462942,0.001237123,0.018691188,0.006994302,0.004704145,"['Crime', 'Drama', 'Mystery']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,Never Have I Ever,"Comedy, Drama",7.9,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",56216.0,8.0,0.014068388,0.038032655,0.027667297,0.079202786,0.74034363,0.039340243,0.061345067,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Attack on Titan,"Animation, Action, Adventure",9.0,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",363297.0,9.0,0.09229029,0.46289465,0.015808139,0.002840056,0.13420556,0.28964737,0.002313865,"['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Manifest,"Drama, Mystery, Sci-Fi",7.1,"A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds.",59167.0,8.0,0.009728758,0.008263941,0.31026742,0.006797911,0.07406371,0.044061456,0.54681677,"['Drama', 'Mystery', 'Sci-Fi']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
52,Locke & Key,"Drama, Fantasy, Horror",7.3,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.",84847.0,8.0,0.03294418,0.008832097,0.03334028,0.001741356,0.01196877,0.9024861,0.008687274,"['Drama', 'Fantasy', 'Horror']",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Day Shift,"Action, Comedy, Fantasy",6.1,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.",62931.0,7.0,0.08204184,0.09212692,0.003050328,0.08673378,0.7093381,0.021226013,0.005483015,"['Action', 'Comedy', 'Fantasy']",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Dark,"Crime, Drama, Mystery",8.7,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",371981.0,9.0,0.025086801,0.15372376,0.21604683,0.03617922,0.34540325,0.10495058,0.11860956,"['Crime', 'Drama', 'Mystery']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,Sex Education,"Comedy, Drama",8.4,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,273671.0,9.0,0.031219147,0.93012244,0.004622326,0.003243367,0.024199188,0.004716371,0.00187707,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,1819157.0,9.0,0.09092,0.07194644,0.66416675,0.005911959,0.1209574,0.04221826,0.003879222,"['Action', 'Adventure', 'Drama']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,The Vampire Diaries,"Drama, Fantasy, Horror",7.7,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",318383.0,8.0,0.001351451,0.003640395,0.9818999,0.000866102,0.005654507,0.002681749,0.003905894,"['Drama', 'Fantasy', 'Horror']",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Virgin River,"Drama, Romance",7.4,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.",41276.0,8.0,0.002266687,0.000883563,0.002015343,0.004128694,0.010765286,0.001160828,0.9787796,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,Family Guy,"Animation, Comedy",8.2,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.",334757.0,9.0,0.054540433,0.054882295,0.027795404,0.01890052,0.7311321,0.04454602,0.06820332,"['Animation', 'Comedy']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Fargo,"Crime, Drama, Thriller",8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",369918.0,9.0,0.02516714,0.019520523,0.06932843,0.002615555,0.7697378,0.011871231,0.1017594,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,Animal Kingdom,"Crime, Drama",8.2,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.",37944.0,9.0,0.14018722,0.7626188,0.004144614,0.001214474,0.066625476,0.02400908,0.00120034,"['Crime', 'Drama']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Diario de un Gigoló,Drama,6.3,A gigolo's life begins to unravel when he becomes involved in a client's family affairs and violates the fundamental rule of his job: don't fall in love.,538.0,7.0,0.20933677,0.58449674,0.060724176,0.001389903,0.06366396,0.077774316,0.002614187,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,How I Met Your Mother,"Comedy, Romance",8.3,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,676121.0,9.0,0.005991134,0.08576019,0.008458659,0.009204803,0.8601681,0.013541372,0.016875753,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,Heartbreak High,"Drama, Romance",7.6,"A fresh look at Hartley High over 20 years on. With her new friends - outsiders Quinni and Darren - Amerie must repair her reputation, while navigating love, sex, and heartbreak.",1502.0,8.0,0.006779566,0.007197651,0.030397408,0.4317215,0.1269809,0.36126193,0.03566103,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,Community,Comedy,8.5,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,261138.0,9.0,0.332626,0.5083673,0.003011982,0.001703711,0.0282615,0.12295411,0.003075439,['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Daredevil,"Action, Crime, Drama",8.6,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",434141.0,9.0,0.013650248,0.010963221,0.9557446,0.001020124,0.012717646,0.003265495,0.00263864,"['Action', 'Crime', 'Drama']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Blue Bloods,"Crime, Drama, Mystery",7.7,Revolves around a family of New York cops.,40037.0,8.0,0.03167031,0.075431176,0.008658668,0.0186475,0.8040537,0.011603883,0.04993468,"['Crime', 'Drama', 'Mystery']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
