,title,year,certificate,duration,genre,rating,description,stars,votes,tiers,anger,disgust,fear,joy,neutral,sadness,surprise
19,Fate: The Winx Saga,(2021– ),TV-MA,,"Action, Adventure, Drama",6.9,"A live-action adaptation of Nickelodeon's Winx Club (2004). It follows Bloom as she adjusts to life in the Otherworld, where she must learn to control her dangerous magical powers.","['Sadie Soverall, ', 'Abigail Cowen, ', 'Freddie Thorp, ', 'Hannah van der Westhuysen']","43,179",7.0,0.011265564,0.012207951,0.018771568,0.6813794,0.26046357,0.00687994,0.009031928
20,The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,178 min,"Action, Adventure, Drama",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"['Peter Jackson', '| ', '    Stars:', 'Elijah Wood, ', 'Ian McKellen, ', 'Orlando Bloom, ', 'Sean Bean']","1,844,055",9.0,0.010003391,0.12877409,0.16156441,0.30896023,0.2789064,0.1071153,0.0046761916
21,Grey's Anatomy,(2005– ),TV-14,41 min,"Drama, Romance",7.6,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"['Ellen Pompeo, ', 'Chandra Wilson, ', 'James Pickens Jr., ', 'Justin Chambers']","303,617",8.0,0.04805625,0.82306474,0.0243655,0.052378055,0.026087195,0.023431487,0.002616819
22,Supernatural,(2005–2020),TV-14,44 min,"Drama, Fantasy, Horror",8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","['Jared Padalecki, ', 'Jensen Ackles, ', 'Jim Beaver, ', 'Misha Collins']","439,597",9.0,0.078960106,0.1238791,0.28841513,0.006338642,0.47309995,0.024885893,0.004421156
23,American Horror Story,(2011– ),TV-MA,60 min,"Drama, Horror, Sci-Fi",8.0,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and desert valley.","['Lady Gaga, ', 'Kathy Bates, ', 'Angela Bassett, ', 'Sarah Paulson']","312,970",8.0,0.011538064,0.15525681,0.32806402,0.009845836,0.056575805,0.42714432,0.011575189
24,The Accidental Narco,(2022– ),TV-MA,50 min,"Action, Biography, Crime",7.4,A civilian businessman who has no choice but to cooperate with the secret operation of the National Intelligence Service to arrest the Korean drug lord who has taken control of Suriname in South America.,"['Ha Jung-woo, ', 'Hwang Jung-min, ', 'Park Hae-soo, ', 'Woo-jin Jo']","2,056",8.0,0.053477418,0.9292259,0.0026288684,0.0016649194,0.0066881585,0.005672558,0.00064222544
25,NCIS,(2003– ),TV-14,60 min,"Action, Crime, Drama",7.8,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","['David McCallum, ', 'Mark Harmon, ', 'Sean Murray, ', 'Pauley Perrette']","145,895",8.0,0.020112807,0.03593901,0.021205397,0.0068561193,0.83050543,0.04802558,0.03735563
26,Friends,(1994–2004),TV-14,22 min,"Comedy, Romance",8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"['Jennifer Aniston, ', 'Courteney Cox, ', 'Lisa Kudrow, ', 'Matt LeBlanc']","979,424",9.0,0.010199614,0.011772637,0.0026711128,0.036070723,0.9115007,0.015786238,0.01199907
27,Shameless,(2011–2021),TV-MA,46 min,"Comedy, Drama",8.6,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","['Emmy Rossum, ', 'William H. Macy, ', 'Ethan Cutkosky, ', 'Jeremy Allen White']","239,541",9.0,0.022629548,0.04453185,0.003248721,0.30468777,0.57999676,0.040608678,0.0042966898
28,Modern Family,(2009–2020),TV-PG,22 min,"Comedy, Drama, Romance",8.5,Three different but related families face trials and tribulations in their own uniquely comedic ways.,"[""Ed O'Neill, "", 'Sofía Vergara, ', 'Julie Bowen, ', 'Ty Burrell']","423,963",9.0,0.0091269715,0.010544785,0.0037684047,0.62692285,0.29570258,0.016929269,0.037005164
29,Ozark,(2017–2022),TV-MA,60 min,"Crime, Drama, Thriller",8.5,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","['Jason Bateman, ', 'Laura Linney, ', 'Sofia Hublitz, ', 'Skylar Gaertner']","309,552",9.0,0.13487917,0.58526766,0.005549711,0.0049605956,0.25326192,0.012914758,0.0031661354
30,Echoes,(2022),TV-MA,326 min,"Drama, Mystery, Thriller",5.9,"Leni and Gina are identical twins who have secretly swapped their lives since they were children, culminating in a double life as adults, but one of the sisters goes missing and everything in their perfectly schemed world turns into chaos.","['Michelle Monaghan, ', 'Matt Bomer, ', 'Karen Robinson, ', 'Ali Stroker']","9,380",6.0,0.16439821,0.010304946,0.019317383,0.010222363,0.0971894,0.6836083,0.014959425
31,The Gray Man,(2022),PG-13,122 min,"Action, Thriller",6.5,"When the CIA's most skilled operative-whose true identity is known to none-accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.","['Anthony Russo, ', 'Joe Russo', '| ', '    Stars:', 'Ryan Gosling, ', 'Chris Evans, ', 'Ana de Armas, ', 'Billy Bob Thornton']","172,136",7.0,0.28881595,0.32400084,0.34698448,0.0033278316,0.027956894,0.0053539197,0.0035600718
32,Me Time,(2022),R,101 min,Comedy,5.0,Follows a dad who finds time for himself for the first time in years while his wife and kids are away. He reconnects with a friend for a wild weekend.,"['John Hamburg', '| ', '    Stars:', 'Kevin Hart, ', 'Mark Wahlberg, ', 'Regina Hall, ', 'Che Tafari']","26,092",5.0,0.007182227,0.015571438,0.0029203985,0.4100617,0.48904815,0.0424404,0.032775696
33,Suits,(2011–2019),TV-14,44 min,"Comedy, Drama",8.5,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","['Gabriel Macht, ', 'Patrick J. Adams, ', 'Meghan Markle, ', 'Sarah Rafferty']","405,863",9.0,0.009686031,0.020890586,0.0878654,0.032158226,0.60914606,0.2221004,0.01815336
34,Vikings,(2013–2020),TV-MA,44 min,"Action, Adventure, Drama",8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.","['Katheryn Winnick, ', 'Gustaf Skarsgård, ', 'Alexander Ludwig, ', 'Georgia Hirst']","524,630",9.0,0.31628084,0.1239467,0.47774693,0.0016027273,0.03170608,0.044949155,0.0037676722
35,The Witcher,(2019– ),TV-MA,60 min,"Action, Adventure, Drama",8.2,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","['Henry Cavill, ', 'Freya Allan, ', 'Anya Chalotra, ', 'Mimi Ndiweni']","481,837",9.0,0.1039014,0.37991303,0.06744566,0.0048646936,0.3724973,0.06813906,0.003238863
36,The Blacklist,(2013– ),TV-14,43 min,"Crime, Drama, Mystery",8.0,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","['James Spader, ', 'Megan Boone, ', 'Diego Klattenhoff, ', 'Ryan Eggold']","245,591",8.0,0.059741553,0.034618244,0.4405884,0.005099666,0.30858034,0.024662828,0.12670901
37,Seinfeld,(1989–1998),TV-PG,22 min,Comedy,8.9,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"['Jerry Seinfeld, ', 'Julia Louis-Dreyfus, ', 'Michael Richards, ', 'Jason Alexander']","314,089",9.0,0.0077020023,0.019290714,0.7788758,0.0101233,0.06775741,0.097645395,0.01860535
38,Lucifer,(2016–2021),TV-14,42 min,"Crime, Drama, Fantasy",8.1,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"['Tom Ellis, ', 'Lauren German, ', 'Kevin Alejandro, ', 'D.B. Woodside']","318,928",9.0,0.010523486,0.020604312,0.002743358,0.17846344,0.60275745,0.17787337,0.0070345695
39,The Umbrella Academy,(2019–2023),TV-14,60 min,"Action, Adventure, Comedy",7.9,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","['Elliot Page, ', 'Tom Hopper, ', 'David Castañeda, ', 'Emmy Raver-Lampman']","243,344",8.0,0.006211994,0.018144188,0.007615524,0.06668361,0.6200257,0.27509618,0.0062227948
40,The Last Kingdom,(2015–2022),TV-MA,60 min,"Action, Drama, History",8.5,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.","['Alexander Dreymon, ', 'Eliza Butterworth, ', 'Arnas Fedaravicius, ', 'Mark Rowley']","136,936",9.0,0.024054248,0.054259166,0.2658933,0.2500002,0.31511796,0.08666992,0.0040052608
41,Partner Track,(2022– ),TV-MA,60 min,Drama,6.8,"Centers on Ingrid Yun, an idealistic young lawyer, struggles with her moral compass and her passions as she fights to climb the partner track at an elite New York City law firm.","['Arden Cho, ', 'Alexandra Turshen, ', 'Bradley Gibson, ', 'Dominic Sherwood']","3,840",7.0,0.06571575,0.018868888,0.09618632,0.015148726,0.7375794,0.0611805,0.005320408
42,Love in the Villa,(2022),TV-14,114 min,"Comedy, Romance",5.3,"A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and she'll have to share her vacation with a cynical British man.","['Mark Steven Johnson', '| ', '    Stars:', 'Kat Graham, ', 'Tom Hopper, ', 'Raymond Ablack, ', 'Laura Hopper']","7,048",6.0,0.21937431,0.46027324,0.0011551951,0.012301132,0.06917681,0.22859135,0.009127986
43,Black Mirror,(2011–2019),TV-MA,60 min,"Drama, Mystery, Sci-Fi",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","['Daniel Lapaine, ', 'Hannah John-Kamen, ', 'Michaela Coel, ', 'Beatrice Robertson-Jones']","535,782",9.0,0.050631743,0.7152261,0.051249333,0.029426076,0.0643895,0.06816491,0.020912394
44,Brooklyn Nine-Nine,(2013–2021),TV-14,22 min,"Comedy, Crime",8.4,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","['Andy Samberg, ', 'Stephanie Beatriz, ', 'Terry Crews, ', 'Melissa Fumero']","309,004",9.0,0.00669606,0.039494675,0.013750882,0.7991372,0.11959795,0.012241638,0.009081528
45,Squid Game,(2021– ),TV-MA,55 min,"Action, Drama, Mystery",8.0,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.","['Lee Jung-jae, ', 'Park Hae-soo, ', 'Hoyeon, ', 'Oh Yeong-su']","435,160",8.0,0.021088118,0.015062295,0.21230555,0.034867976,0.31275207,0.004202755,0.39972126
46,Gilmore Girls,(2000–2007),TV-PG,44 min,"Comedy, Drama",8.2,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.","['Lauren Graham, ', 'Alexis Bledel, ', 'Keiko Agena, ', 'Scott Patterson']","124,087",9.0,0.0068384963,0.056841675,0.063000835,0.7407859,0.06302606,0.056151614,0.013355337
47,Outlander,(2014– ),TV-MA,60 min,"Drama, Fantasy, Romance",8.4,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"['Caitríona Balfe, ', 'Sam Heughan, ', 'Sophie Skelton, ', 'Richard Rankin']","158,268",9.0,0.008899315,0.0063465554,0.02552315,0.0023682986,0.27512378,0.036828075,0.6449109
48,Ófærð,(2015– ),TV-14,60 min,"Crime, Drama, Mystery",8.0,"In a remote town in Iceland, Police desperately try to solve a crime as a powerful storm descends upon the town.","['Ólafur Darri Ólafsson, ', 'Ilmur Kristjánsdóttir, ', 'Björn Hlynur Haraldsson, ', 'Guðjón Pedersen']","21,641",8.0,0.014715513,0.007363491,0.9462942,0.0012371229,0.018691188,0.006994302,0.004704145
49,Never Have I Ever,(2020–2023),TV-14,30 min,"Comedy, Drama",7.9,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","['Maitreyi Ramakrishnan, ', 'Poorna Jagannathan, ', 'Darren Barnet, ', 'John McEnroe']","56,216",8.0,0.014068388,0.038032655,0.027667297,0.079202786,0.74034363,0.039340243,0.061345067
50,Attack on Titan,(2013–2023),TV-MA,24 min,"Animation, Action, Adventure",9.0,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","['Josh Grelle, ', 'Yûki Kaji, ', 'Yui Ishikawa, ', 'Marina Inoue']","363,297",9.0,0.09229029,0.46289465,0.015808139,0.0028400556,0.13420556,0.28964737,0.0023138653
51,Manifest,(2018– ),TV-14,43 min,"Drama, Mystery, Sci-Fi",7.1,"A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds.","['Melissa Roxburgh, ', 'Josh Dallas, ', 'J.R. Ramirez, ', 'Luna Blaise']","59,167",8.0,0.009728758,0.008263941,0.31026742,0.006797911,0.07406371,0.044061456,0.54681677
52,Locke & Key,(2020–2022),TV-14,48 min,"Drama, Fantasy, Horror",7.3,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.","['Darby Stanchfield, ', 'Connor Jessup, ', 'Emilia Jones, ', 'Jackson Robert Scott']","84,847",8.0,0.03294418,0.008832097,0.03334028,0.0017413563,0.01196877,0.9024861,0.008687274
53,Day Shift,(2022),R,113 min,"Action, Comedy, Fantasy",6.1,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.","['J.J. Perry', '| ', '    Stars:', 'Jamie Foxx, ', 'Dave Franco, ', 'Natasha Liu Bordizzo, ', 'Meagan Good']","62,931",7.0,0.08204184,0.09212692,0.0030503275,0.08673378,0.7093381,0.021226013,0.005483015
54,Dark,(2017–2020),TV-MA,60 min,"Crime, Drama, Mystery",8.7,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.","['Louis Hofmann, ', 'Karoline Eichhorn, ', 'Lisa Vicari, ', 'Maja Schöne']","371,981",9.0,0.025086801,0.15372376,0.21604683,0.03617922,0.34540325,0.10495058,0.11860956
55,Guillermo del Toro's Pinocchio,(II) (2022),,114 min,"Animation, Drama, Family",,A darker version of the classic children's fairy tale of a wooden puppet that transforms into a real living boy.,"['Guillermo del Toro, ', 'Mark Gustafson', '| ', '    Stars:', 'Gregory Mann, ', 'Ewan McGregor, ', 'Ron Perlman, ', 'Finn Wolfhard']",,,0.005247619,0.851408,0.012763541,0.006323603,0.028252121,0.09389611,0.0021089204
56,Sex Education,(2019– ),TV-MA,45 min,"Comedy, Drama",8.4,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,"['Asa Butterfield, ', 'Gillian Anderson, ', 'Ncuti Gatwa, ', 'Emma Mackey']","273,671",9.0,0.031219147,0.93012244,0.0046223258,0.0032433665,0.024199188,0.0047163707,0.00187707
57,The Lord of the Rings: The Return of the King,(2003),PG-13,201 min,"Action, Adventure, Drama",9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"['Peter Jackson', '| ', '    Stars:', 'Elijah Wood, ', 'Viggo Mortensen, ', 'Ian McKellen, ', 'Orlando Bloom']","1,819,157",9.0,0.09092,0.07194644,0.66416675,0.0059119593,0.1209574,0.04221826,0.0038792223
58,The Vampire Diaries,(2009–2017),TV-14,43 min,"Drama, Fantasy, Horror",7.7,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","['Nina Dobrev, ', 'Paul Wesley, ', 'Ian Somerhalder, ', 'Kat Graham']","318,383",8.0,0.0013514512,0.0036403954,0.9818999,0.0008661021,0.0056545073,0.002681749,0.003905894
59,Virgin River,(2019– ),TV-14,44 min,"Drama, Romance",7.4,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.","['Martin Henderson, ', 'Tim Matheson, ', 'Alexandra Breckenridge, ', 'Colin Lawrence']","41,276",8.0,0.0022666866,0.0008835627,0.002015343,0.004128694,0.010765286,0.0011608284,0.9787796
60,Family Guy,(1999– ),TV-MA,22 min,"Animation, Comedy",8.2,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.","['Seth MacFarlane, ', 'Alex Borstein, ', 'Seth Green, ', 'Mila Kunis']","334,757",9.0,0.054540433,0.054882295,0.027795404,0.01890052,0.7311321,0.04454602,0.06820332
61,Fargo,(2014– ),TV-MA,53 min,"Crime, Drama, Thriller",8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","['Billy Bob Thornton, ', 'Martin Freeman, ', 'Allison Tolman, ', 'Colin Hanks']","369,918",9.0,0.02516714,0.019520523,0.06932843,0.002615555,0.7697378,0.011871231,0.1017594
62,Animal Kingdom,(2016–2022),TV-MA,60 min,"Crime, Drama",8.2,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.","['Shawn Hatosy, ', 'Ben Robson, ', 'Jake Weary, ', 'Finn Cole']","37,944",9.0,0.14018722,0.7626188,0.0041446136,0.001214474,0.066625476,0.02400908,0.0012003396
63,Diario de un Gigoló,(2022),TV-MA,50 min,Drama,6.3,A gigolo's life begins to unravel when he becomes involved in a client's family affairs and violates the fundamental rule of his job: don't fall in love.,"['Jesús Castro, ', 'Victoria White, ', 'Fabiola Campomanes, ', 'Francisco Denis']",538,7.0,0.20933677,0.58449674,0.060724176,0.0013899028,0.06366396,0.077774316,0.002614187
64,How I Met Your Mother,(2005–2014),TV-14,22 min,"Comedy, Romance",8.3,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"['Josh Radnor, ', 'Jason Segel, ', 'Cobie Smulders, ', 'Neil Patrick Harris']","676,121",9.0,0.005991134,0.08576019,0.008458659,0.009204803,0.8601681,0.013541372,0.016875753
65,The School for Good and Evil,(2022),PG-13,147 min,"Action, Drama, Fantasy",,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,"['Paul Feig', '| ', '    Stars:', 'Cate Blanchett, ', 'Charlize Theron, ', 'Michelle Yeoh, ', 'Rachel Bloom']",,,0.032847147,0.015477187,0.09380055,0.02787754,0.6555683,0.048440516,0.12598875
66,Heartbreak High,(2022– ),TV-MA,50 min,"Drama, Romance",7.6,"A fresh look at Hartley High over 20 years on. With her new friends - outsiders Quinni and Darren - Amerie must repair her reputation, while navigating love, sex, and heartbreak.","['Ayesha Madon, ', 'James Majoos, ', 'Chloe Hayden, ', 'Asher Yasbincek']","1,502",8.0,0.0067795664,0.0071976506,0.030397408,0.4317215,0.1269809,0.36126193,0.03566103
67,Wednesday,(2022– ),,,"Comedy, Family, Fantasy",,"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart and solve the mystery that embroiled her parents.","['Jenna Ortega, ', 'Christina Ricci, ', 'Catherine Zeta-Jones, ', 'Luis Guzmán']",,,0.14257738,0.01251532,0.54238987,0.009091308,0.24901491,0.025316011,0.01909517
68,Community,(2009–2015),TV-14,22 min,Comedy,8.5,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"['Joel McHale, ', 'Danny Pudi, ', 'Donald Glover, ', 'Chevy Chase']","261,138",9.0,0.332626,0.5083673,0.0030119822,0.0017037109,0.0282615,0.12295411,0.0030754388
